Agent ID,Risk Profile,Collateral Deposited (BTC),Effective Collateral ($),Initial Borrowed MOET ($),Final Debt w/ Interest ($),Total Interest Accrued ($),Initial Health Factor,Target Health Factor,Final Health Factor,Initial Yield Tokens ($),Yield Tokens Sold ($),Final Collateral Value ($),Final Yield Token Value ($),Net Position Value ($),Cost of Rebalancing ($),Survival Status,Rebalancing Events,Emergency Liquidations
high_tide_conservative_6,Conservative,1.0,"$80,000","$36,787","$28,445",$0,2.17,2.10,2.26,"$36,787","$4,888","$80,360","$31,891","$99,985",$15,✅ Survived,4,0
high_tide_conservative_5,Conservative,1.0,"$80,000","$36,728","$28,534",$0,2.18,2.12,2.25,"$36,728","$4,741","$80,360","$31,978","$99,986",$14,✅ Survived,5,0
high_tide_conservative_4,Conservative,1.0,"$80,000","$37,451","$28,723",$0,2.14,2.00,2.24,"$37,451","$4,601","$80,360","$32,843","$99,986",$14,✅ Survived,2,0
high_tide_moderate_30,Moderate,1.0,"$80,000","$46,152","$34,198",$0,1.73,1.49,1.88,"$46,152","$6,434","$80,360","$39,712","$99,981",$19,✅ Survived,1,0
high_tide_moderate_17,Moderate,1.0,"$80,000","$45,904","$34,873",$0,1.74,1.59,1.84,"$45,904","$7,392","$80,360","$38,503","$99,978",$22,✅ Survived,2,0
high_tide_moderate_28,Moderate,1.0,"$80,000","$44,596","$35,012",$0,1.79,1.59,1.84,"$44,596","$5,089","$80,360","$39,501","$99,985",$15,✅ Survived,1,0
high_tide_moderate_13,Moderate,1.0,"$80,000","$44,914","$35,672",$0,1.78,1.59,1.80,"$44,914","$4,894","$80,360","$40,015","$99,985",$15,✅ Survived,1,0
high_tide_moderate_20,Moderate,1.0,"$80,000","$44,985","$35,728",$0,1.78,1.59,1.80,"$44,985","$4,902","$80,360","$40,079","$99,985",$15,✅ Survived,1,0
high_tide_moderate_23,Moderate,1.0,"$80,000","$46,207","$36,277",$0,1.73,1.54,1.77,"$46,207","$5,273","$80,360","$40,929","$99,984",$16,✅ Survived,1,0
high_tide_moderate_18,Moderate,1.0,"$80,000","$45,092","$36,860",$0,1.77,1.60,1.74,"$45,092","$4,330","$80,360","$40,758","$99,987",$13,✅ Survived,1,0
high_tide_moderate_24,Moderate,1.0,"$80,000","$44,895","$37,022",$0,1.78,1.62,1.74,"$44,895","$4,120","$80,360","$40,771","$99,988",$12,✅ Survived,1,0
high_tide_moderate_14,Moderate,1.0,"$80,000","$52,579","$37,092",$0,1.52,1.28,1.73,"$52,579","$8,430","$80,360","$44,141","$99,975",$25,✅ Survived,1,0
high_tide_moderate_27,Moderate,1.0,"$80,000","$49,658","$37,076",$0,1.61,1.39,1.73,"$49,658","$6,760","$80,360","$42,891","$99,980",$20,✅ Survived,1,0
high_tide_moderate_16,Moderate,1.0,"$80,000","$46,081","$37,390",$0,1.74,1.56,1.72,"$46,081","$4,579","$80,360","$41,497","$99,986",$14,✅ Survived,1,0
high_tide_moderate_22,Moderate,1.0,"$80,000","$45,940","$37,276",$0,1.74,1.57,1.72,"$45,940","$4,565","$80,360","$41,370","$99,986",$14,✅ Survived,1,0
high_tide_moderate_25,Moderate,1.0,"$80,000","$45,286","$37,366",$0,1.77,1.61,1.72,"$45,286","$4,156","$80,360","$41,125","$99,988",$12,✅ Survived,1,0
high_tide_moderate_29,Moderate,1.0,"$80,000","$52,386","$37,292",$0,1.53,1.29,1.72,"$52,386","$8,199","$80,360","$44,179","$99,975",$25,✅ Survived,1,0
high_tide_moderate_19,Moderate,1.0,"$80,000","$49,277","$38,311",$0,1.62,1.44,1.68,"$49,277","$5,836","$80,360","$43,434","$99,982",$18,✅ Survived,1,0
high_tide_moderate_21,Moderate,1.0,"$80,000","$46,543","$38,404",$0,1.72,1.57,1.67,"$46,543","$4,271","$80,360","$42,268","$99,987",$13,✅ Survived,1,0
high_tide_moderate_15,Moderate,1.0,"$80,000","$51,233","$41,571",$0,1.56,1.41,1.55,"$51,233","$5,091","$80,360","$46,138","$99,985",$15,✅ Survived,1,0
high_tide_moderate_26,Moderate,1.0,"$80,000","$52,679","$42,745",$0,1.52,1.37,1.50,"$52,679","$5,234","$80,360","$47,440","$99,984",$16,✅ Survived,1,0
high_tide_aggressive_31,Aggressive,1.0,"$80,000","$53,888","$35,256",$0,1.48,1.19,1.82,"$53,888","$10,595","$80,360","$43,282","$99,968",$32,✅ Survived,1,0
high_tide_aggressive_44,Aggressive,1.0,"$80,000","$54,860","$37,867",$0,1.46,1.22,1.70,"$54,860","$9,296","$80,360","$45,555","$99,972",$28,✅ Survived,1,0
high_tide_aggressive_32,Aggressive,1.0,"$80,000","$53,340","$37,971",$0,1.50,1.27,1.69,"$53,340","$8,348","$80,360","$44,983","$99,975",$25,✅ Survived,1,0
high_tide_aggressive_40,Aggressive,1.0,"$80,000","$59,518","$39,112",$0,1.34,1.10,1.64,"$59,518","$10,987","$80,360","$48,519","$99,967",$33,✅ Survived,1,0
high_tide_aggressive_34,Aggressive,1.0,"$80,000","$60,342","$41,207",$0,1.33,1.10,1.56,"$60,342","$10,452","$80,360","$49,879","$99,969",$31,✅ Survived,1,0
high_tide_aggressive_39,Aggressive,1.0,"$80,000","$57,369","$42,234",$0,1.39,1.10,1.52,"$57,369","$12,173","$80,360","$45,185","$99,963",$37,✅ Survived,1,0
high_tide_aggressive_42,Aggressive,1.0,"$80,000","$60,975","$42,557",$0,1.31,1.10,1.51,"$60,975","$10,050","$80,360","$50,915","$99,970",$30,✅ Survived,1,0
high_tide_aggressive_41,Aggressive,1.0,"$80,000","$56,061","$43,186",$0,1.43,1.10,1.49,"$56,061","$12,876","$80,360","$43,173","$99,948",$52,✅ Survived,1,0
high_tide_aggressive_35,Aggressive,1.0,"$80,000","$61,482","$43,768",$0,1.30,1.10,1.47,"$61,482","$9,622","$80,360","$51,850","$99,971",$29,✅ Survived,1,0
high_tide_aggressive_43,Aggressive,1.0,"$80,000","$61,485","$43,770",$0,1.30,1.10,1.47,"$61,485","$9,623","$80,360","$51,852","$99,971",$29,✅ Survived,1,0
high_tide_aggressive_45,Aggressive,1.0,"$80,000","$61,397","$43,707",$0,1.30,1.10,1.47,"$61,397","$9,609","$80,360","$51,779","$99,971",$29,✅ Survived,1,0
high_tide_aggressive_36,Aggressive,1.0,"$80,000","$56,811","$44,137",$0,1.41,1.10,1.46,"$56,811","$12,675","$80,360","$44,124","$99,949",$51,✅ Survived,1,0
high_tide_aggressive_38,Aggressive,1.0,"$80,000","$60,598","$45,716",$0,1.32,1.15,1.41,"$60,598","$7,951","$80,360","$52,638","$99,976",$24,✅ Survived,1,0
high_tide_aggressive_37,Aggressive,1.0,"$80,000","$54,010","$54,010",$0,1.48,1.12,1.19,"$54,010",$0,"$80,360","$54,010","$100,000",$0,✅ Survived,0,0
high_tide_aggressive_33,Aggressive,1.0,"$80,000","$55,206","$55,206",$0,1.45,1.10,1.16,"$55,206",$0,"$80,360","$55,206","$100,000",$0,✅ Survived,0,0
